borrowerid,borrowername,region,country,IQ_INDUSTRY_SECTOR,parent,parentticker,ticker,companyisprivate
2656,China Yantai Salvage Bureau,,China,Industrials,China Yantai Salvage Bureau,,,
2657,Zhuhai Jiuzhou Holdings Group Co Ltd,,China,Energy,Zhuhai Jiuzhou Holdings Group Co Ltd,,,
2658,Shaanxi Construction Engineering Holding Group Co Ltd,,China,Industrials,Shaanxi Construction Engineering Holding Group Co Ltd,,,
2659,Luizhou Longjian Investment Development Co Ltd,,China,Real Estate,Luizhou Longjian Investment Development Co Ltd,,,
2660,Tanjung Bin Energy Sdn Bhd,,Malaysia,Utilities,Malakoff Corp Bhd,,,
2661,Zhejiang Tiantai State-owned Assets Management Co Ltd,,China,Industrials,Zhejiang Tiantai State-owned Assets Management Co Ltd,,,
2662,Guangdong Provincial Highway Construction Co Ltd,,China,Industrials,Guangdong Provincial Communication Group Co Ltd,,,
2663,Guangdong Provincial Freeway Co Ltd,,China,Industrials,Guangdong Provincial Communication Group Co Ltd,,,
2664,Zhongshan City Construction Group Co Ltd,,China,Real Estate,Zhongshan City Construction Group Co Ltd,,,
2665,Changchun Hi-tech Zone Development Group Co Ltd,,China,Health Care,Changchun Hi-tech Zone Development Group Co Ltd,,,
2666,Kurita Water Industries Ltd,,Japan,Industrials,Kurita Water Industries Ltd,,,
2667,Sky ICT pcl,,Thailand,Consumer Discretionary,Sky ICT pcl,,,
2668,YTL REIT MTN Sdn Bhd,,Malaysia,Financials,Yeoh Tiong Lay & Sons Holdings Sdn Bhd,,,
2669,CMHI Finance (BVI) Co Ltd,,Hong Kong,Industrials,China Merchants Group Ltd,,,
2670,Taizhou Huangyan Transportation & Tourism Investment Group Co Ltd,,China,Industrials,Taizhou Huangyan Transportation & Tourism Investment Group Co Ltd,,,
2671,Xianning Urban Construction Investment Development Co Ltd,,China,Industrials,Xianning Urban Construction Investment Development Co Ltd,,,
2672,Wuxi Jinyuan Industry Investment & Development Co Ltd,,China,Financials,Wuxi Binhu District Supply & Marketing Cooperatives,,,
2673,Kuraray Co Ltd,,Japan,Materials,Kuraray Co Ltd,,,
2674,Vicinity Centres Trust,,Australia,Real Estate,Vicinity Ltd - Vicinity Centres,,,
2675,Tokyu Corp,,Japan,Consumer Discretionary,Tokyu Corp,,,
2676,Mudanjiang Urban Investment Group Co Ltd,,China,Industrials,Mudanjiang State-owned Assets Investment Holdings Ltd,,,
2677,Tobu Railway Co Ltd,,Japan,Industrials,Tobu Railway Co Ltd,,,
2678,Southern Grid Financial Leasing 2022-1 Green ABS (Carbon Neutral Bond),,China,Financials,China Southern Power Grid Energy Efficiency & Clean Energy Co Ltd,,,
2679,Bavarian Sky- Herald International Financial Leasing Co Ltd 2022-1 ABN,,China,Industrials,BMW,,,
2680,Haier Financial Factoring 2022 Haier 2 ABS,,China,Financials,Haier Group Corp,,,
2681,Huiyuan 2022-1 Non-performing Loans Securitization,,China,Financials,CITIC Group Corp,,,
2682,San Shui International Development Co Ltd,,China,Industrials,Jiangsu Jiangyan Economic Development Group Co Ltd,,,
2683,Shandong Mingshui Guokai Industrial Development Co Ltd,,China,Real Estate,Shandong Mingshui Guokai Industrial Development Co Ltd,,,
2684,Zunyi Road & Bridge Construction (Group) Co Ltd,,China,Industrials,Zunyi Road & Bridge Construction (Group) Co Ltd,,,
2685,New Metro Global Ltd,,China,Real Estate,Wealth Zone Hong Kong Investments Ltd,,,
2686,Huafa 2021 I Co Ltd,,China,Real Estate,Zhuhai Huafa Group Co Ltd,,,
2687,PT Waskita Karya (Persero) Tbk,,Indonesia,Industrials,PT Waskita Karya (Persero) Tbk,,,
2688,PT Adhi Karya (Persero),,Indonesia,Industrials,PT Adhi Karya (Persero),,,
2689,Widad Concession Sdn Bhd,,Malaysia,Industrials,Widad Group Bhd,,,
